transactionIdSource,clientId,amount,transactionDate
mFem6Fv0,38,202.65,2024-12-15T03:41:04.087777+00:00
ls9WbkDp,51,428.68,2024-12-15T03:41:04.087780+00:00
u6AyWmJp,28,226.68,2024-12-15T03:41:04.087784+00:00
q5xPHC7F,61,182.47,2024-12-15T03:41:04.087787+00:00
q8WksskJ,66,341.55,2024-12-15T03:41:04.087791+00:00
gUrogw5l,35,145.63,2024-12-15T03:41:04.087794+00:00
iDK55Nrq,60,320.62,2024-12-15T03:41:04.087798+00:00
vAdfNEzM,29,388.36,2024-12-15T03:41:04.087801+00:00
jGnaHHxh,45,218.05,2024-12-15T03:41:04.087805+00:00
knDTban8,42,402.7,2024-12-15T03:41:04.087809+00:00
LuSjEOZV,81,776.59,2024-12-15T03:41:04.087812+00:00
odpZYlyU,10,715.42,2024-12-15T03:41:04.087816+00:00
rB5SHYNG,24,689.96,2024-12-15T03:41:04.087820+00:00
nx8gW7dL,42,177.54,2024-12-15T03:41:04.087824+00:00
opiOofuV,21,989.07,2024-12-15T03:41:04.087827+00:00
uXjsxQpz,1,141.05,2024-12-15T03:41:04.087831+00:00
77EeaAHC,71,343.66,2024-12-15T03:41:04.087835+00:00
TLyXey6q,54,535.36,2024-12-15T03:41:04.087838+00:00
QdfE72m9,64,733.73,2024-12-15T03:41:04.087842+00:00
8JFiLNDj,36,636.03,2024-12-15T03:41:04.087846+00:00
stRtUpp0,47,250.8,2024-12-15T03:41:04.087849+00:00
lTgvfx3w,69,584.31,2024-12-15T03:41:04.087853+00:00
YKKTW62G,19,445.32,2024-12-15T03:41:04.087857+00:00
l4unA7mE,6,801.15,2024-12-15T03:41:04.087860+00:00
L3zs0LWz,92,917.18,2024-12-15T03:41:04.087863+00:00
Yvk0COjn,73,893.08,2024-12-15T03:41:04.087867+00:00
D1eqAqwi,62,933.14,2024-12-15T03:41:04.087870+00:00
KPpd9DpR,28,568.36,2024-12-15T03:41:04.087874+00:00
I5TKPD7G,33,863.38,2024-12-15T03:41:04.087878+00:00
Xck6OnN7,77,158.31,2024-12-15T03:41:04.087881+00:00
8adFZH5J,20,1.54,2024-12-15T03:41:04.087892+00:00
pMMb2zdS,23,820.87,2024-12-15T03:41:04.087896+00:00
QSNMmBH6,70,734.44,2024-12-15T03:41:04.087900+00:00
ntGZ3kRC,36,399.03,2024-12-15T03:41:04.087904+00:00
pMMTmZ4q,83,196.86,2024-12-15T03:41:04.087907+00:00
IfgXA8PO,75,453.55,2024-12-15T03:41:04.087911+00:00
B8AuM4jn,67,196.92,2024-12-15T03:41:04.087915+00:00
1004ChNP,66,427.62,2024-12-15T03:41:04.087918+00:00
aUZqU0CE,64,216.94,2024-12-15T03:41:04.087922+00:00
9LyEkmyQ,48,756.98,2024-12-15T03:41:04.087925+00:00
WPEq5IJE,99,283.94,2024-12-15T03:41:04.087929+00:00
EBzEXraV,93,521.26,2024-12-15T03:41:04.087932+00:00
NbZgu4JB,7,673.81,2024-12-15T03:41:04.087936+00:00
xP4HX6v9,85,666.08,2024-12-15T03:41:04.087939+00:00
GGIWiWcZ,53,573.84,2024-12-15T03:41:04.087942+00:00
ErPtyW8o,24,164.26,2024-12-15T03:41:04.087946+00:00
oYx1zFCK,41,393.54,2024-12-15T03:41:04.087949+00:00
25YboPvT,25,361.98,2024-12-15T03:41:04.087953+00:00
EsK9SkYV,61,667.52,2024-12-15T03:41:04.087956+00:00
Nwa5wRyO,60,532.52,2024-12-15T03:41:04.087960+00:00
io5HJrM1,58,430.57,2024-12-15T03:41:04.087963+00:00
asrkgK5R,61,20.72,2024-12-15T03:41:04.087967+00:00
qy59zMen,80,549.23,2024-12-15T03:41:04.087971+00:00
6m00J65z,76,873.74,2024-12-15T03:41:04.087975+00:00
gQEo6Hu7,8,94.78,2024-12-15T03:41:04.087981+00:00
htxySzRb,74,190.44,2024-12-15T03:41:04.087984+00:00
PvbmFkOu,86,332.32,2024-12-15T03:41:04.087988+00:00
bcVJWOiP,48,375.13,2024-12-15T03:41:04.087991+00:00
IFMLKf3Z,64,882.69,2024-12-15T03:41:04.088051+00:00
c09yRrVH,23,699.18,2024-12-15T03:41:04.088056+00:00
D2otTpCi,88,158.8,2024-12-15T03:41:04.088060+00:00
RQ2YVKtW,55,727.39,2024-12-15T03:41:04.088064+00:00
p9e5mbDI,24,90.29,2024-12-15T03:41:04.088068+00:00
AADYueMT,95,715.96,2024-12-15T03:41:04.088072+00:00
VbSl21NV,90,420.68,2024-12-15T03:41:04.088076+00:00
WuQvNanO,57,633.31,2024-12-15T03:41:04.088079+00:00
31YjlS2N,32,438.29,2024-12-15T03:41:04.088083+00:00
PozgR1L1,32,554.91,2024-12-15T03:41:04.088087+00:00
irRxR9yj,51,643.15,2024-12-15T03:41:04.088091+00:00
to4OFoy3,39,252.71,2024-12-15T03:41:04.088094+00:00
lnbl1elk,64,775.71,2024-12-15T03:41:04.088098+00:00
z9pdsng4,85,334.56,2024-12-15T03:41:04.088102+00:00
T8YSnUEl,39,633.45,2024-12-15T03:41:04.088106+00:00
z7mJooTS,30,655.5,2024-12-15T03:41:04.088109+00:00
2p9HSNL4,62,42.61,2024-12-15T03:41:04.088113+00:00
cRzzWVol,31,726.43,2024-12-15T03:41:04.088117+00:00
9zxZF9M9,65,269.31,2024-12-15T03:41:04.088121+00:00
59SJr544,36,684.13,2024-12-15T03:41:04.088127+00:00
qgp2utbV,64,54.08,2024-12-15T03:41:04.088130+00:00
IQDSsbYg,38,128.05,2024-12-15T03:41:04.088134+00:00
JOCKNuen,62,84.11,2024-12-15T03:41:04.088137+00:00
WiFyDKcu,19,571.34,2024-12-15T03:41:04.088141+00:00
rIjJxiBV,34,469.15,2024-12-15T03:41:04.088144+00:00
K7tnGzVq,50,566.86,2024-12-15T03:41:04.088148+00:00
epz54b0K,23,209.17,2024-12-15T03:41:04.088152+00:00
GLbMoL4O,75,755.27,2024-12-15T03:41:04.088155+00:00
cEJix5cw,79,114.34,2024-12-15T03:41:04.088159+00:00
lfID5MKO,6,222.28,2024-12-15T03:41:04.088162+00:00
S1Lwz1DC,55,356.83,2024-12-15T03:41:04.088165+00:00
37PggIjD,88,93.82,2024-12-15T03:41:04.088168+00:00
RCajjutL,16,958.21,2024-12-15T03:41:04.088172+00:00
HjORcF8e,80,377.4,2024-12-15T03:41:04.088178+00:00
j1ZcsU3K,93,24.4,2024-12-15T03:41:04.088181+00:00
UyYc6fnv,42,430.27,2024-12-15T03:41:04.088185+00:00
PhmjTErP,29,509.03,2024-12-15T03:41:04.088189+00:00
EK5kyL66,46,691.85,2024-12-15T03:41:04.088192+00:00
hzQaC3hm,78,349.54,2024-12-15T03:41:04.088196+00:00
Cqhue22r,90,836.91,2024-12-15T03:41:04.088199+00:00
W8lkMEfy,56,942.72,2024-12-15T03:41:04.088202+00:00
TeuSyEH4,12,932.97,2024-12-15T03:41:04.088206+00:00
w8iyRXOt,5,934.11,2024-12-15T03:41:04.088209+00:00
NqPCyczW,45,888.04,2024-12-15T03:41:04.088212+00:00
vRkPWi7Z,56,336.9,2024-12-15T03:41:04.088216+00:00
1uEB3zu7,72,316.11,2024-12-15T03:41:04.088219+00:00
29TQv7mS,51,6.55,2024-12-15T03:41:04.088225+00:00
T9dVE6Sb,79,854.95,2024-12-15T03:41:04.088228+00:00
vtnpaZX6,18,982.78,2024-12-15T03:41:04.088232+00:00
H3SId6GI,91,986.29,2024-12-15T03:41:04.088236+00:00
fF2Qtt40,53,575.2,2024-12-15T03:41:04.088239+00:00
nzWdxc4V,65,403.55,2024-12-15T03:41:04.088242+00:00
d5Fz7jGL,44,235.86,2024-12-15T03:41:04.088246+00:00
I0cRIZH1,51,511.09,2024-12-15T03:41:04.088249+00:00
wtjizwyX,89,68.03,2024-12-15T03:41:04.088252+00:00
drsqHCrJ,45,228.73,2024-12-15T03:41:04.088256+00:00
NwvKBrOl,28,105.71,2024-12-15T03:41:04.088259+00:00
XPbjF95A,71,418.1,2024-12-15T03:41:04.088262+00:00
xP08SLOr,87,107.89,2024-12-15T03:41:04.088266+00:00
CtX7OYYI,31,376.26,2024-12-15T03:41:04.088270+00:00
I0JmwY4E,46,317.25,2024-12-15T03:41:04.088273+00:00
clxVHQbO,91,909.94,2024-12-15T03:41:04.088276+00:00
J71JOUf5,98,545.07,2024-12-15T03:41:04.088280+00:00
riuPW17q,56,940.09,2024-12-15T03:41:04.088283+00:00
9yjw6cTR,15,61.5,2024-12-15T03:41:04.088287+00:00
f29UEQi4,55,584.61,2024-12-15T03:41:04.088293+00:00
6L9C5ORM,35,723.98,2024-12-15T03:41:04.088296+00:00
IASVveeX,42,400.87,2024-12-15T03:41:04.088300+00:00
kxQr4H5R,72,398.38,2024-12-15T03:41:04.088304+00:00
DZoRkfYU,90,145.69,2024-12-15T03:41:04.088307+00:00
iJCyIMAZ,54,354.84,2024-12-15T03:41:04.088311+00:00
R8AfdBvW,40,792.67,2024-12-15T03:41:04.088314+00:00
il6qy0Q9,38,698.83,2024-12-15T03:41:04.088318+00:00
xaQ6bQsn,73,905.25,2024-12-15T03:41:04.088323+00:00
83fJflaG,90,761.81,2024-12-15T03:41:04.088326+00:00
4aTwGFRN,96,181.51,2024-12-15T03:41:04.088330+00:00
U7DdoR52,61,498.4,2024-12-15T03:41:04.088333+00:00
H0GWv4q1,93,671.35,2024-12-15T03:41:04.088336+00:00
adSVkKjb,30,958.47,2024-12-15T03:41:04.088340+00:00
FEuGbivM,31,234.01,2024-12-15T03:41:04.088344+00:00
NDouDvSU,99,112.45,2024-12-15T03:41:04.088347+00:00
OLXSnhAD,81,471.73,2024-12-15T03:41:04.088351+00:00
osxPYvi3,63,280.24,2024-12-15T03:41:04.088354+00:00
DymYCBoW,85,524.98,2024-12-15T03:41:04.088357+00:00
IFxtcTsl,63,408.71,2024-12-15T03:41:04.088361+00:00
RaTbJulZ,22,559.22,2024-12-15T03:41:04.088364+00:00
N6E0IDwN,24,883.11,2024-12-15T03:41:04.088368+00:00
LlvGa38G,31,460.63,2024-12-15T03:41:04.088371+00:00
dEgN121V,91,900.84,2024-12-15T03:41:04.088374+00:00
C9cwxk75,62,624.01,2024-12-15T03:41:04.088378+00:00
sjTruFHL,39,471.18,2024-12-15T03:41:04.088381+00:00
b6VOTy4d,29,432.09,2024-12-15T03:41:04.088385+00:00
Sy9YZ6IO,66,744.05,2024-12-15T03:41:04.088388+00:00
Q7u4bGoA,12,74.06,2024-12-15T03:41:04.088392+00:00
ewy56i82,86,716.54,2024-12-15T03:41:04.088395+00:00
RMmlsCBA,16,606.24,2024-12-15T03:41:04.088398+00:00
c9vNUSjH,75,557.88,2024-12-15T03:41:04.088401+00:00
7aQ5guPG,50,57.76,2024-12-15T03:41:04.088407+00:00
mdepBML2,64,841.08,2024-12-15T03:41:04.088410+00:00
tVamcl2X,99,422.43,2024-12-15T03:41:04.088413+00:00
wj3nvFfY,98,9.61,2024-12-15T03:41:04.088419+00:00
rspycshy,67,187.14,2024-12-15T03:41:04.088422+00:00
VsQ3fXe7,23,715.64,2024-12-15T03:41:04.088426+00:00
KNhkGNs8,21,292.75,2024-12-15T03:41:04.088429+00:00
SK2QGfpP,12,422.74,2024-12-15T03:41:04.088433+00:00
ZQiAeaZX,64,706.7,2024-12-15T03:41:04.088436+00:00
lrLT4pdp,30,892.81,2024-12-15T03:41:04.088440+00:00
GLn9sCCq,74,452.81,2024-12-15T03:41:04.088444+00:00
pmEIJpZr,41,786.91,2024-12-15T03:41:04.088447+00:00
fVab4LJN,3,239.49,2024-12-15T03:41:04.088451+00:00
DX8bGiO7,30,390.99,2024-12-15T03:41:04.088454+00:00
snrToqar,96,19.29,2024-12-15T03:41:04.088458+00:00
oHOusaKs,52,786.03,2024-12-15T03:41:04.088461+00:00
jyZJAYcD,19,925.48,2024-12-15T03:41:04.088465+00:00
Nv3piUhd,94,807.49,2024-12-15T03:41:04.088468+00:00
veBDEjHJ,38,133.51,2024-12-15T03:41:04.088471+00:00
ZNl2TZDM,17,949.19,2024-12-15T03:41:04.088475+00:00
6UzoquNA,69,163.84,2024-12-15T03:41:04.088478+00:00
Tu7tQDvT,85,410.2,2024-12-15T03:41:04.088483+00:00
myDWkJFk,24,472.36,2024-12-15T03:41:04.088487+00:00
7V1Baqvv,78,919.39,2024-12-15T03:41:04.088490+00:00
85MI3KW2,15,473.94,2024-12-15T03:41:04.088494+00:00
NfxeUj1i,70,12.54,2024-12-15T03:41:04.088497+00:00
6bHkSyo5,89,442.14,2024-12-15T03:41:04.088501+00:00
Xlq5Z35H,33,358.98,2024-12-15T03:41:04.088505+00:00
YimO38po,51,131.64,2024-12-15T03:41:04.088508+00:00
uhOzWCfF,91,840.77,2024-12-15T03:41:04.088512+00:00
xgF4r0e2,44,437.02,2024-12-15T03:41:04.088517+00:00
sfVn6D7q,25,223.28,2024-12-15T03:41:04.088521+00:00
UzrZKIRi,50,556.57,2024-12-15T03:41:04.088524+00:00
GSoLPdZP,3,836.29,2024-12-15T03:41:04.088527+00:00
Eh3OKJNO,64,669.58,2024-12-15T03:41:04.088531+00:00
CFhtmVOe,95,249.28,2024-12-15T03:41:04.088534+00:00
wVijcbve,66,959.49,2024-12-15T03:41:04.088538+00:00
iQRxFzWx,63,301.45,2024-12-15T03:41:04.088541+00:00
R0uuCxzQ,78,480.37,2024-12-15T03:41:04.088544+00:00
2QfSMzN6,31,456.54,2024-12-15T03:41:04.088548+00:00
mkZGWt53,37,774.05,2024-12-15T03:41:04.088551+00:00
DtZNEnPl,13,357.16,2024-12-15T03:41:04.088554+00:00
zs0lf4Yr,77,494.86,2024-12-15T03:41:04.088557+00:00
4DLEDsF9,47,586.81,2024-12-15T03:41:04.088561+00:00
tCOhVHQa,65,935.51,2024-12-15T03:41:04.088564+00:00
i5a7ZrZB,42,805.29,2024-12-15T03:41:04.088567+00:00
C5H5Fbpy,90,305.9,2024-12-15T03:41:04.088571+00:00
lkPOjmLR,4,104.43,2024-12-15T03:41:04.088575+00:00
CB2nTJ0z,67,550.95,2024-12-15T03:41:04.088578+00:00
OcT2MiHl,20,550.45,2024-12-15T03:41:04.088582+00:00
IWsTp7an,17,880.88,2024-12-15T03:41:04.088585+00:00
TaASyd31,62,456.51,2024-12-15T03:41:04.088588+00:00
fiYpoXc6,95,469.2,2024-12-15T03:41:04.088592+00:00
H0RjObhb,5,955.63,2024-12-15T03:41:04.088595+00:00
LjAPBDta,83,859.31,2024-12-15T03:41:04.088599+00:00
E9dsjM15,27,505.76,2024-12-15T03:41:04.088602+00:00
gDfFLOlq,58,876.65,2024-12-15T03:41:04.088606+00:00
YMV0Wixk,98,697.56,2024-12-15T03:41:04.088609+00:00
lrIDFVS2,3,302.73,2024-12-15T03:41:04.088614+00:00
h3y1luVJ,58,876.39,2024-12-15T03:41:04.088619+00:00
BT57Q6K9,32,706.03,2024-12-15T03:41:04.088623+00:00
gq2o7zCN,5,423.0,2024-12-15T03:41:04.088626+00:00
t58fVuve,96,353.15,2024-12-15T03:41:04.088630+00:00
ELUE3Zlz,71,704.19,2024-12-15T03:41:04.088635+00:00
NxHAbuH5,70,826.2,2024-12-15T03:41:04.088639+00:00
CXuckDGq,3,940.19,2024-12-15T03:41:04.088642+00:00
Gw0YVbcz,45,550.5,2024-12-15T03:41:04.088645+00:00
S1UaI6tO,26,792.05,2024-12-15T03:41:04.088649+00:00
F9vZdbTw,20,934.59,2024-12-15T03:41:04.088652+00:00
ZHNevAvr,23,363.16,2024-12-15T03:41:04.088656+00:00
t6qr5gp6,76,487.04,2024-12-15T03:41:04.088659+00:00
tPRYsXQO,90,347.06,2024-12-15T03:41:04.088662+00:00
EiHbA1Uw,36,871.04,2024-12-15T03:41:04.088666+00:00
JrgsYtDG,81,153.89,2024-12-15T03:41:04.088669+00:00
ugvqFlhv,56,397.3,2024-12-15T03:41:04.088672+00:00
RGnowh5x,16,386.16,2024-12-15T03:41:04.088677+00:00
QIA9quT4,87,11.7,2024-12-15T03:41:04.088681+00:00
AJonmQ4o,14,305.0,2024-12-15T03:41:04.088684+00:00
YxyNWSGk,52,679.37,2024-12-15T03:41:04.088687+00:00
vhNJSa31,60,947.45,2024-12-15T03:41:04.088691+00:00
w9lITIDq,57,38.53,2024-12-15T03:41:04.088694+00:00
cBC6DVvC,49,268.63,2024-12-15T03:41:04.088698+00:00
lMGg10Ao,40,494.17,2024-12-15T03:41:04.088701+00:00
QUA107dI,95,384.74,2024-12-15T03:41:04.088704+00:00
BPeBDan8,73,548.5,2024-12-15T03:41:04.088708+00:00
mg3yedNE,19,51.21,2024-12-15T03:41:04.088711+00:00
vZoxWFCt,68,238.03,2024-12-15T03:41:04.088714+00:00
jUkeKste,3,816.08,2024-12-15T03:41:04.088720+00:00
KcT8bP0w,23,383.27,2024-12-15T03:41:04.088723+00:00
wNHFX1BH,78,897.26,2024-12-15T03:41:04.088727+00:00
LI1R40Bq,17,421.88,2024-12-15T03:41:04.088731+00:00
OZLOTsN5,19,733.03,2024-12-15T03:41:04.088734+00:00
SfKsR6OF,56,33.8,2024-12-15T03:41:04.088737+00:00
qGhQEzg1,16,604.2,2024-12-15T03:41:04.088741+00:00
QntB5b0x,13,105.19,2024-12-15T03:41:04.088744+00:00
UJhDFhBd,8,153.52,2024-12-15T03:41:04.088748+00:00
vlSB7mfP,99,868.27,2024-12-15T03:41:04.088751+00:00
eSAVhiBk,28,982.45,2024-12-15T03:41:04.088754+00:00
HCgnZE7I,5,323.81,2024-12-15T03:41:04.088758+00:00
jztpkq2L,35,192.8,2024-12-15T03:41:04.088761+00:00
Lv03dBD3,39,594.24,2024-12-15T03:41:04.088765+00:00
LGRV3Bi2,59,207.84,2024-12-15T03:41:04.088768+00:00
5Y5Mhlse,61,47.04,2024-12-15T03:41:04.088771+00:00
hZnrVdiB,30,80.52,2024-12-15T03:41:04.088775+00:00
PIVCdqQa,52,412.61,2024-12-15T03:41:04.088779+00:00
OXetyKQd,98,847.67,2024-12-15T03:41:04.088782+00:00
rs8dglXG,72,348.76,2024-12-15T03:41:04.088785+00:00
6edtGbXD,76,883.89,2024-12-15T03:41:04.088789+00:00
mKlqtUNm,80,946.13,2024-12-15T03:41:04.088792+00:00
q16hKkAv,45,662.95,2024-12-15T03:41:04.088795+00:00
NJBPZToA,2,795.67,2024-12-15T03:41:04.088799+00:00
FxBN03HA,55,629.43,2024-12-15T03:41:04.088802+00:00
U1lcYmop,60,900.3,2024-12-15T03:41:04.088805+00:00
hzuWoBkK,71,372.71,2024-12-15T03:41:04.088809+00:00
jSzhY19g,62,945.74,2024-12-15T03:41:04.088816+00:00
IKXvF8EV,44,576.69,2024-12-15T03:41:04.088819+00:00
3696UwNn,54,55.68,2024-12-15T03:41:04.088823+00:00
m8XExqzc,31,832.27,2024-12-15T03:41:04.088826+00:00
lXyXoXgo,76,347.46,2024-12-15T03:41:04.088830+00:00
3eT6oNqL,37,966.11,2024-12-15T03:41:04.088833+00:00
xhsVQWEZ,11,924.01,2024-12-15T03:41:04.088836+00:00
zVw7gw1t,72,55.31,2024-12-15T03:41:04.088839+00:00
Ta8igCzQ,71,414.66,2024-12-15T03:41:04.088843+00:00
dvq0cCXD,76,9.65,2024-12-15T03:41:04.088847+00:00
0zY9oRZo,13,484.73,2024-12-15T03:41:04.088850+00:00
fPXzUTWL,68,909.25,2024-12-15T03:41:04.088853+00:00
OXwCAuWS,20,918.65,2024-12-15T03:41:04.088858+00:00
5RX01xf7,20,270.14,2024-12-15T03:41:04.088864+00:00
lknWUMVr,64,819.32,2024-12-15T03:41:04.088867+00:00
law6qFbX,81,72.96,2024-12-15T03:41:04.088871+00:00
H6wDrO9v,94,725.64,2024-12-15T03:41:04.088874+00:00
U887iB81,66,326.88,2024-12-15T03:41:04.088878+00:00
G0y053wr,50,111.96,2024-12-15T03:41:04.088881+00:00
EDuLmCT2,10,317.95,2024-12-15T03:41:04.088884+00:00
AzkoVtwI,48,734.7,2024-12-15T03:41:04.088888+00:00
IRwn15ZI,69,158.79,2024-12-15T03:41:04.088891+00:00
nCUvtjOR,91,284.54,2024-12-15T03:41:04.088894+00:00
Nd9lwJjo,4,175.99,2024-12-15T03:41:04.088898+00:00
mIsxzc2V,39,282.31,2024-12-15T03:41:04.088901+00:00
Q318UnBB,92,188.69,2024-12-15T03:41:04.088906+00:00
8NzGoNX5,64,862.76,2024-12-15T03:41:04.088913+00:00
Hb7Q78Rc,28,669.38,2024-12-15T03:41:04.088921+00:00
bfOQGw6F,62,47.8,2024-12-15T03:41:04.088928+00:00
7mYm0hGG,16,789.79,2024-12-15T03:41:04.088936+00:00
mdBGuCEm,94,609.4,2024-12-15T03:41:04.088944+00:00
bv4VG7Ck,94,633.67,2024-12-15T03:41:04.088951+00:00
XyFfnxF9,97,514.51,2024-12-15T03:41:04.088960+00:00
2lhOCERj,100,964.23,2024-12-15T03:41:04.088964+00:00
9LWvS504,16,305.41,2024-12-15T03:41:04.088968+00:00
4CX5sdJO,69,985.01,2024-12-15T03:41:04.088972+00:00
2rT0x6RW,92,764.98,2024-12-15T03:41:04.088975+00:00
DfhnEWe4,14,660.57,2024-12-15T03:41:04.088978+00:00
AlK4TTsh,58,609.83,2024-12-15T03:41:04.088982+00:00
sZPl7UWi,64,60.73,2024-12-15T03:41:04.088985+00:00
6qSywh8V,73,352.29,2024-12-15T03:41:04.088989+00:00
lIdUX5n8,75,330.41,2024-12-15T03:41:04.088993+00:00
KYfZrti7,53,117.52,2024-12-15T03:41:04.088996+00:00
eatyIpsM,68,771.24,2024-12-15T03:41:04.089000+00:00
wVlSPP1C,39,576.25,2024-12-15T03:41:04.089003+00:00
wXpHxr2b,18,718.7,2024-12-15T03:41:04.089006+00:00
w4VamzgL,59,449.45,2024-12-15T03:41:04.089010+00:00
lZagLBgB,74,408.67,2024-12-15T03:41:04.089013+00:00
KGGlklD9,77,263.9,2024-12-15T03:41:04.089017+00:00
9GUuQGTh,17,399.44,2024-12-15T03:41:04.089020+00:00
UQSj7SHS,57,640.86,2024-12-15T03:41:04.089023+00:00
3Qq24yHn,24,192.34,2024-12-15T03:41:04.089027+00:00
r9XumXAZ,55,830.52,2024-12-15T03:41:04.089030+00:00
SWq9a2Iw,59,356.84,2024-12-15T03:41:04.089033+00:00
2dmyUq6H,1,249.9,2024-12-15T03:41:04.089037+00:00
zD6u7DQi,9,703.12,2024-12-15T03:41:04.089040+00:00
WwThTmcG,33,137.75,2024-12-15T03:41:04.089044+00:00
i2J1Uwq0,38,728.06,2024-12-15T03:41:04.089047+00:00
liiXFf2L,97,714.56,2024-12-15T03:41:04.089050+00:00
TfhpAB0j,91,688.33,2024-12-15T03:41:04.089054+00:00
Tsss9Zfb,11,493.14,2024-12-15T03:41:04.089057+00:00
029IWlE9,24,184.54,2024-12-15T03:41:04.089060+00:00
32BqMO1B,8,275.7,2024-12-15T03:41:04.089064+00:00
gb6Sz4c4,85,68.44,2024-12-15T03:41:04.089067+00:00
s5836CRx,78,717.03,2024-12-15T03:41:04.089075+00:00
4YQtz3z7,9,534.02,2024-12-15T03:41:04.089078+00:00
VG3WTfQV,91,550.54,2024-12-15T03:41:04.089082+00:00
1AxOM2nt,90,870.51,2024-12-15T03:41:04.089085+00:00
jSqGrWdJ,33,353.76,2024-12-15T03:41:04.089089+00:00
fQcTHdo9,97,240.32,2024-12-15T03:41:04.089092+00:00
dFBtHcpu,41,560.89,2024-12-15T03:41:04.089095+00:00
J1AYMzuM,84,436.64,2024-12-15T03:41:04.089099+00:00
jaCH2GuW,5,343.94,2024-12-15T03:41:04.089102+00:00
s55Y6JPv,38,621.32,2024-12-15T03:41:04.089106+00:00
7IcAih55,58,240.59,2024-12-15T03:41:04.089109+00:00
ibjCD5Wy,22,867.25,2024-12-15T03:41:04.089112+00:00
cwUxMKAb,67,808.74,2024-12-15T03:41:04.089118+00:00
5PYTnTcP,63,223.61,2024-12-15T03:41:04.089121+00:00
peqYPpkw,26,868.43,2024-12-15T03:41:04.089125+00:00
JlF34sNt,22,452.37,2024-12-15T03:41:04.089128+00:00
ijg9iKfX,16,245.44,2024-12-15T03:41:04.089131+00:00
aSBZJCKg,25,678.1,2024-12-15T03:41:04.089135+00:00
5O9TVxhA,18,31.51,2024-12-15T03:41:04.089138+00:00
qSzfFXPn,48,846.39,2024-12-15T03:41:04.089141+00:00
XbvXLGjJ,69,283.95,2024-12-15T03:41:04.089145+00:00
YIauy8aV,76,147.13,2024-12-15T03:41:04.089148+00:00
gO7jfkQa,31,337.19,2024-12-15T03:41:04.089151+00:00
MEhqmev7,14,677.93,2024-12-15T03:41:04.089155+00:00
